symbol,price,size,time
GBF,107.715,41,1657813384080
WBK,14.22,200,1643403588574
GBGR,16.055,34,1657221475498
PBA,34.695,100,1657828793709
SPAK,13.32,20,1657632832725
PYX,2.925,5,1591991996408
PGC,28.06,2,1657828795242
BLNG,9.82,100,1657735626765
FSMO,19.11,100,1657731929657
FEXDW,0.1109,100,1656531753989
URA,18.34,1,1657829094985
VJET,4.0,65,1657723923708
AMWD,45.34,8,1657828795385
CHKP,121.51,100,1657828794759
GHAC,9.81,449,1657553034979
AFARW,0.1,900,1654609817532
OMP,23.87,110,1643662799104
UWN,2.54,1000,1560538553461
PULM,4.36,100,1657821638294
HLG,13.2,50,1657050635177
MLQD,50.305,100,1560272391844
YMTX,1.7,100,1657638222405
FSLF,15.77,281,1624907183116
ICBK,35.85,100,1638564470308
FHI,33.0,10,1657828797582
HDIV,29.76,12,1657737276170
PRCH,2.2,24,1657828780331
RTN,118.15,100,1585859450634
NNDM,3.39,7,1657828763996
TFC-H,24.98,100,1622042848575
BSCJ,21.095,76,1576097666251
SRNGU,11.93,80,1631822527284
PTX,0.206,100,1551732335186
BTAQW,0.0108,1000,1646165195413
NNA,3.49,100,1634241458489
EMHC,23.16,100,1657551555503
FRHC,49.03,1,1657828796456
HBB,11.77,12,1657828795153
ANH,3.0,640,1616183995889
NNN,42.99,111,1657828798069
JMUB,50.57,100,1657817229182
PCG,10.0,57,1657828795206
INKAU,10.0,100,1657220907302
MFL,11.86,82,1649447998021
ENTG,94.48,11,1657828799214
TRON,10.08,100,1657828020462
OFED,22.16,60,1655912335518
TDI,25.34,20,1630429668564
MFAC,14.48,100,1609878813157
HRTX,2.95,500,1657828796643
PAYC,290.98,5,1657828799500
SNTG,0.673,700,1657828675820
APXI,10.02,300,1657219930060
LOOP,4.75,2,1657828791922
AABA,19.635,200,1570046374844
SU,29.535,200,1657828798881
NGAB,9.9,100,1636577954695
NTSX,33.1,1,1657817418787
VALU,57.33,1,1657828785690
TCOM,25.51,200,1657828798084
RRBI,52.38,99,1657742394122
NAZ,13.04,100,1657735838714
NEWA,3.84,100,1626177686867
XRF,3.045,100,1595011715067
MDR,0.7021,100,1579294734127
IJAN,24.24,200,1657827244501
REXR-B,25.12,300,1657816213702
FSBW,27.41,2,1657828796482
RMM,16.35,300,1657828442121
PTI,1.13,100,1608668788099
TAXF,50.52,98,1657827303342
CRU=,9.87,6,1651604329797
