symbol,sector,securityType,bidPrice,bidSize,askPrice,askSize,lastUpdated,lastSalePrice,lastSaleSize,lastSaleTime,volume
BOAC+,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
LVTX,n/a,n/a,2.32,100,3.06,100,1657808887888,0.0,0,0,0
PCG-D,utilities,ps,0.0,0,0.0,0,1657805400000,0.0,0,0,0
WIA,miscellaneous,cef,8.95,100,10.55,100,1657808531120,0.0,0,0,0
CVLG,transportation,cs,25.17,200,25.39,100,1657808830066,25.29,1,1657808773570,995
DCOM,finance,cs,26.41,158,31.2,100,1657808991940,28.69,46,1657808824239,1162
JFWD,n/a,n/a,8.65,500,0.0,0,1657808999012,0.0,0,0,0
ONYX,n/a,n/a,10.0,400,10.03,200,1657808622811,0.0,0,0,0
IYZ,miscellaneous,et,24.82,100,24.84,700,1657809005329,24.81,100,1657806350240,200
VFC,consumernon-durables,cs,44.59,200,48.02,100,1657809005132,44.6,100,1657808968437,16027
CYCCP,healthtechnology,ps,0.0,0,0.0,0,1657805400000,0.0,0,0,0
BBUC,n/a,n/a,21.66,133,23.42,100,1657808999344,21.7,1,1657805828930,1
BYD,consumerservices,cs,45.24,100,49.43,100,1657809002896,49.375,100,1657809001519,8010
CELU,n/a,n/a,4.18,100,4.57,100,1657808996309,4.15,25,1657808437909,296
IJUL,miscellaneous,et,20.3,100,23.92,100,1657806354380,22.12,400,1657807777488,400
COTY,consumernon-durables,cs,7.18,200,7.19,500,1657809001289,7.19,100,1657808909909,41085
VNSE,miscellaneous,et,22.42,100,29.55,100,1657806304874,0.0,0,0,0
AHT,finance,cs,7.87,200,7.9,300,1657809004084,7.84,100,1657808128167,1120
DDM,miscellaneous,et,49.93,100,58.62,100,1657808918177,54.46,100,1657806594238,2459
IBHB,miscellaneous,et,0.0,0,0.0,0,1657805400000,0.0,0,0,0
RFACU,n/a,n/a,9.99,1000,0.0,0,1657805730526,0.0,0,0,0
NLR,miscellaneous,et,47.02,100,56.47,100,1657807998948,0.0,0,0,0
CUBI-F,finance,ps,0.0,0,0.0,0,1657805400000,0.0,0,0,0
FISI,finance,cs,22.56,100,24.8,221,1657809003881,24.69,5,1657808349195,420
CBRG,n/a,n/a,9.98,100,10.8,100,1657807293078,0.0,0,0,0
DXLG,retailtrade,cs,3.28,100,3.87,100,1657809000609,3.585,10,1657808855014,7127
LIVB,n/a,n/a,9.52,100,11.98,100,1657805400873,0.0,0,0,0
KTB,consumernon-durables,cs,34.48,166,37.6,100,1657808996326,34.47,1,1657808784337,2120
PYPD,healthtechnology,cs,4.14,100,5.76,100,1657807893157,0.0,0,0,0
BSKYW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
DSPC,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
CVX,energyminerals,cs,122.71,101,144.11,100,1657809005849,133.5,100,1657809004323,98922
ELDN,n/a,n/a,2.66,100,3.4,100,1657807243159,3.01,100,1657806329016,500
GLLIR,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
IBCP,finance,cs,18.47,200,20.08,100,1657809000162,18.47,1,1657808418957,613
BWV,n/a,n/a,1.75,100,1.93,1000,1657808999308,1.91,10,1657808999309,20
AACIW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
DTIL,healthtechnology,cs,1.47,162,1.52,300,1657809000003,1.51,50,1657808707752,7244
SZK,miscellaneous,et,0.0,0,0.0,0,1657805400000,0.0,0,0,0
AXLA,healthtechnology,cs,1.91,100,2.33,100,1657808999429,2.14,100,1657806067448,200
PEPG,n/a,n/a,9.2,123,11.64,100,1657808287437,10.45,27,1657805995592,38
TRIS,n/a,n/a,9.74,1000,0.0,0,1657805443294,0.0,0,0,0
FXF,miscellaneous,et,90.79,1000,90.83,1000,1657809003365,0.0,0,0,0
SHPW+,n/a,n/a,0.0488,100,0.12,100,1657805400846,0.0,0,0,0
PFFA,miscellaneous,et,19.69,100,23.24,100,1657806428794,21.42,50,1657807938366,600
L,finance,cs,51.52,133,55.76,233,1657809004357,55.705,3,1657808992701,2240
CFO,miscellaneous,et,59.34,100,64.56,700,1657808995445,64.72,203,1657805401151,310
TGAN,n/a,n/a,3.67,156,4.09,190,1657808982999,4.09,10,1657808982999,961
FSV,finance,cs,115.2,100,135.31,100,1657809006614,125.17,7,1657808918279,2198
SWKH,miscellaneous,cs,13.89,100,19.53,100,1657806618364,0.0,0,0,0
STRC,n/a,n/a,2.85,300,3.11,100,1657808984942,2.82,6,1657807822766,205
MKL,finance,cs,1256.83,21,1374.82,10,1657809001377,1257.93,2,1657808975649,1588
HTLD,transportation,cs,13.96,100,14.01,133,1657808975111,13.95,100,1657808728428,578
MIXT,technologyservices,ad,6.87,100,8.3,100,1657808934004,7.57,200,1657806896039,300
SLAB,electronictechnology,cs,113.69,107,134.36,110,1657808976614,123.66,1,1657808948319,3230
FEI,miscellaneous,cef,7.15,100,7.79,100,1657808978176,7.18,100,1657808647722,100
GHACU,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
BIZD,miscellaneous,et,14.94,800,14.98,700,1657809004915,0.0,0,0,0
AIZ,finance,cs,156.36,103,184.09,100,1657808956401,169.08,35,1657808940375,1516
WWOW,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
HAS,consumerdurables,cs,72.74,106,79.15,208,1657809003709,79.1,100,1657809003588,18242
EEM,miscellaneous,et,38.17,10000,38.18,1900,1657809006025,38.165,100,1657808992152,343165
DOZR,n/a,n/a,0.0,0,0.0,0,1657805400000,0.0,0,0,0
RENN,technologyservices,ad,27.8,300,30.19,100,1657808797224,27.7,100,1657807413654,322
CUEN,n/a,n/a,0.4876,100,0.5773,100,1657807576504,0.0,0,0,0
GBT,healthtechnology,cs,31.93,116,34.82,128,1657809001310,34.78,28,1657808892702,4814
GCOR,miscellaneous,et,39.75,100,46.77,100,1657808210471,43.3,57,1657807965284,71
DRI,consumerservices,cs,115.11,102,115.24,133,1657809005167,114.88,75,1657808862822,9773
SITC-A,finance,ps,25.13,100,27.6,100,1657808292517,25.24,100,1657808401694,1808
AREN,n/a,n/a,8.38,129,10.6,100,1657807667858,9.69,23,1657808590584,684
AGIL,n/a,n/a,4.0,100,5.75,100,1657806324957,0.0,0,0,0
YOU,n/a,n/a,17.79,145,21.16,100,1657809004558,19.53,100,1657808951903,2329
SABSW,n/a,n/a,0.136,100,0.1837,100,1657808760188,0.0,0,0,0
IBM,technologyservices,cs,136.7,300,142.0,100,1657809003476,136.675,100,1657808982919,45775
DFEN,miscellaneous,et,12.58,100,14.74,100,1657808904003,13.73,125,1657808000798,145
PIXY,commercialservices,cs,0.2328,100,0.2754,100,1657806634148,0.0,0,0,0
NNBR,producermanufacturing,cs,2.48,100,2.71,100,1657808990279,2.49,100,1657808835778,509
CFSB,n/a,n/a,7.25,100,12.08,100,1657805400682,0.0,0,0,0
HCIC,n/a,n/a,9.82,500,10.64,100,1657807182140,9.86,200,1657807182140,300
CDRO,n/a,n/a,2.4,100,2.91,100,1657808815343,2.62,20,1657807646239,513
NWLG,n/a,n/a,16.31,100,19.17,100,1657806330562,0.0,0,0,0
SRET,miscellaneous,et,7.94,400,7.97,1600,1657808960716,7.945,200,1657808932396,301
RNXT,n/a,n/a,1.52,100,2.46,100,1657805400560,0.0,0,0,0
NMT,miscellaneous,cef,10.84,100,12.79,100,1657808126170,0.0,0,0,0
KBR,technologyservices,cs,42.52,100,50.05,100,1657809005999,46.12,100,1657808656431,747
AEL-B,finance,ps,22.22,100,26.36,100,1657808316804,24.305,32,1657808316807,32
FTXN,miscellaneous,et,21.36,100,21.39,100,1657809006262,21.44,200,1657806581631,900
CTRM,transportation,cs,1.25,100,1.34,100,1657808938163,1.29,60,1657806629716,360
SKIL+,n/a,n/a,0.5203,100,0.6694,100,1657806784928,0.0,0,0,0
BBVA,finance,ad,3.95,6101,3.97,3100,1657809003514,3.95,100,1657808894860,8064
PNFP,finance,cs,68.89,133,74.35,100,1657809006630,68.69,100,1657808733191,1659
BBIG,commercialservices,cs,1.0,3050,1.01,3035,1657808992020,1.01,100,1657808963684,10587
AEE,utilities,cs,86.25,133,93.44,100,1657809002250,86.19,50,1657808980678,5618
PORT,n/a,n/a,9.86,200,10.72,100,1657808065901,0.0,0,0,0
OCCI,miscellaneous,cef,8.22,100,8.94,100,1657808648335,8.92,100,1657806766794,100
ALL-B,finance,ps,22.37,100,26.46,100,1657807635165,0.0,0,0,0
